,LIBELLE
0,La Douzillère
1,Châtillon-sur-Seine
2,La Défense
3,Byans
4,Chamelet
5,L'Hermitage-Mordelles
6,Châlons-en-Champagne
7,Hoerdt
8,Flez-Cuzy-Tannay
9,Aire-sur-la-Lys
10,Bassens-Appontements
11,Plouaret-Trégor
12,Cadaujac
13,Creil
14,Champagné
15,Vern
16,Ste-Geneviève-des-Bois
17,Haguenau
18,Issy-Val-de-Seine
19,Vergèze-Codognan
20,Champlan
21,Wittring
22,Hochfelden
23,St-Roch (Somme)
24,Villeneuve-St-Georges
25,Chavanges
26,Reichshoffen-Usines
27,Caussade
28,Bellegarde
29,Montreuil-sur-Mer
30,Lucé
31,Us
32,Fossé-Marolles
33,Lauterbourg
34,St-Léon-sur-l'Isle
35,Ste-Colombe
36,Foug
37,Vaudagne
38,Sallaumines
39,La Bouteille
40,Éragny-Neuville
41,Bugeat
42,Biarritz
43,Aix-les-Bains-Le Revard
44,Tergnier
45,Elne
46,Aix-les-Bains-Le Revard
47,Montpellier
48,Dreux
49,Laboissière-le-Déluge
50,Vervins
51,Livry-sur-Seine
52,Les Aubrais-Orléans
53,Vic-Mireval
54,Le Cheylas-La Buissière
55,Buno-Gironville
56,Les Pélerins
57,Anstaing
58,Collioure
59,Kogenheim
60,Crêches-sur-Saône
61,Neuillé-Pont-Pierre
62,Groisy-Thorens-la-Caille
63,St-Gilles-du-Gard
64,Belleville-Vendée
65,Lieusaint-Moissy
66,Montbéliard
67,Valenciennes
68,Vendenheim
69,Pruniers
70,Coron-de-Méricourt
71,St-Louis
72,Bois-Colombes
73,Chouzy
74,Murat
75,Le Monastier
76,Les Aubrais-Orléans
77,Esbly
78,La Tricherie
79,Coltainville
80,Vaumoise
81,Iteuil
82,Walygator-Parc
83,St-Victor-Thizy
84,Fresnoy-le-Grand
85,Rueil-Malmaison
86,Archignat
87,Ondres
88,Magland
89,Breuillet-Bruyères-le-Châtel
90,Belloy-St-Martin
91,Notre-Dame-de-Briançon
92,La Varenne-Chennevières
93,Pontrieux
94,St-Ouen-l'Aumône-Église
95,Viévola
97,St-Blaise-la-Roche-Poutay
98,Ste-Eulalie-Carbon-Blanc
99,Boussy-St-Antoine
100,Bram
101,Tracy-Sancerre
102,Longueville
103,Couilly-St-Germain
104,Bologne
105,Changis-St-Jean
106,Ste-Colombe-les-Vienne-St-Romain-en-Gal
107,Aubiat
108,Loreux
109,Gannat
110,Rassuen
111,Chilly-Mazarin
112,Manthes-Lapeyrouse
113,Marmagne
114,Mussidan
115,Mennessis
116,Mondoubleau
117,Annappes
118,Audrieu
119,Pontarlier
121,Arnèke
122,Patay
123,Le Teil
124,Lesquin
125,St-Césaire
126,Florange
127,Anzeling
128,Renescure
129,Rouxmesnil
130,Valence
131,Bresles
132,Jonzac
133,Pithiviers
134,La Hutte-Coulombiers
135,Hénin-Beaumont
136,Lacq
137,Marchezais-Broué
138,Le Méridien
139,Pont-de-l'Alma
140,Rilly-la-Montagne
141,Béning
142,Commentry
143,Orthez
144,Croix-Sainte
145,Ste-Pazanne
146,Villeneuve-d'Ingré
147,Mauves-sur-Loire
148,Noirétable
149,Villedieu-les-Poêles
150,Savigny-sur-Orge
151,Bartenheim
152,Domfront
153,Bayon
154,Nice-St-Roch
155,Quimper
156,Parthenay
157,Laigné-St-Gervais
158,Orange
159,Hymont-Mattaincourt
160,Asnières-sur-Seine
161,Chamborigaud
162,Quimperlé
163,Lamballe
164,St-Aubin-St-Luperce
165,La Vancelle
166,Miramas
167,Juvisy
168,Charmont
169,Bar-sur-Aube
170,Bruges
171,Verneuil-sur-Avre
172,St-Cyprien-en-Dordogne
173,Soulac-sur-Mer
174,Livry-Gargan
175,St-Béron-La Bridoire
176,Ygos
177,Teting
178,Veynes-Dévoluy
179,Arc-et-Senans
180,Pont-Cardinet
181,Culmont-Chalindrey
182,Avesnelles
183,St-Lothain
184,Bellenaves
185,St-Ouen-l'Aumône
186,Coulombiers
187,Montceau-les-Mines
188,Le Croisic
189,Paris-Montparnasse
190,Loches
191,Arbois
192,Rouen-Rive-Droite
193,Rouillé
194,Haguenau
195,La Charité-sur-Loire
196,Le Creusot-Montceau-Montchanin
197,Turckheim
198,Pommevic
199,Moyeuvre-Grande
200,Gresswiller
201,Montauban-Ville-Bourbon
202,Arpajon
203,Tournes
204,Riom-Châtel-Guyon
205,Sarlat
206,Alland'huy
207,Beynes
208,Le Cailar
209,Bouy
210,Les Ancizes-St-Georges
211,Serqueux
212,Romilly-sur-Seine
213,Arnage
214,Montry-Condé
215,St-Mars-la-Brière
216,Nouzonville
217,Crotelles
218,Héricourt
219,Auneau
220,Milhac-d'Auberoche
221,Arcis-sur-Aube
222,Versailles-Chantiers
223,Sète
224,St-Georges-d'Aurac
225,Roubaix
226,Maintenon
227,La Rochelle-Pallice
228,Sarreguemines
229,Péronne-la-Chapelette
230,Soultz-sous-Forêts
231,L'Arbresle
232,Corseul-Languenan
233,Villepreux-les-Clayes
234,Argenteuil
235,Faubourg-d'Orléans
236,Domène
237,La Ferté-Bernard
238,Auneau
239,Bar-sur-Seine
240,Écully-la-Demi-Lune
241,Montcornet
242,Mignaloux-Nouaillé
243,Wisches
244,Garancières-la-Queue
245,Mailly-le-Camp
246,Servas-Lent
247,Servon
248,Trèbes
249,La Roche-Maurice
250,St-Erme
251,Simiane
252,Hautmont
253,Dingé
254,Pont-de-Roide
255,Luxé
256,Les Salelles
257,Colombier-Fontaine
258,Lafarge
259,Villeneuve-Loubet-Plage
260,Monte-Carlo-Country-Club
261,Roubaix-Wattrelos
262,Beinheim-Embranchement
263,Le Buisson
264,Tournes
265,Magnette
266,Bretoncelles
267,Bon-Encontre
268,Château-du-Loir
269,Calonne-Ricouart
270,Leyment
271,Issy
272,Taillebourg
273,St-Jory
274,Landas
275,Brandérion
276,Pierreville
277,Vincey
278,Culoz
279,St-Médard-de-Guizières
280,Dissay
281,Clichy-Levallois
282,Buzy-en-Béarn
283,Sarralbe
284,Caudéran-Mérignac
285,Onzain-Chaumont-sur-Loire
286,Mont-sur-Meurthe
287,Bruz
288,St-Jean-Pla-de-Corts
289,Fenouillet-St-Alban
290,Halsou-Larressore
291,Chauny
292,St-Rambert-d'Albon
293,Châtres (Aube)
294,Laissey
296,Beaucaire-Marchandises
297,Beaucaire-Marchandises
298,Pavilly
299,Bords
300,Bornel-Belle-Église
301,Coussac-Bonneval
302,Mer
303,Niederbronn-les-Bains
304,Sermizelles-Vézelay
305,St-Léger-sur-Dheune
306,Maule
307,Choisy-le-Roi
308,St-Étienne-de-Montluc
309,Dunkerque
310,Wizernes
311,Ambérieu
312,Beaumont-de-Lomagne
313,Pouzauges
314,Salindres
315,Rognac
316,Franois
317,Corbie
318,Nortkerque
319,Raedersheim
320,Veuxhaulles
321,Châtel-Censoir
322,Dangé
323,Obermodern
324,Les Perrières
325,Barjac
326,Givors
327,Orly-Ville
328,Milly-sur-Thérain
329,Le Cendre-Orcet
330,Pontchâteau
331,Gaillon-Aubevoye
332,Belfort
333,Ciry-le-Noble
334,La Membrolle-sur-Choisille
335,Wimille-Wimereux
336,Brunoy
337,La Taye
338,Erstein
339,Avignon-Centre
340,Sens
341,Épinay-sur-Seine TT
342,Charmes
343,Sin-le-Noble
344,Pont-de-Veyle
345,Rai-Aube
346,Tressin
347,La Borne-Blanche
348,Seltz
349,Lagny-Thorigny
350,Bourg-Madame
351,St-Pierre-lès-Elbeuf
352,Formerie
353,Héming
354,Lamagistère
355,La Roche-sur-Yon
356,Sarrebourg
357,Marseillan-Plage
358,La Faloise
359,Montbazon
360,Le Havre-Graville
361,Sérézin
362,Théoule-sur-Mer
363,Roppenheim
364,Montereau
365,Dieppe
366,Vendôme
367,Weyersheim
368,Lurbe-St-Christau
369,Tenay-Hauteville
370,Quesnoy-le-Montant
371,St-Georges-de-Luzençon
372,Laluque
373,Nuits-sous-Ravières
374,Frénouville-Cagny
375,Tincques
376,Andrésy
377,Bon-Encontre
378,Sain-Bel
379,Andelot
381,Aytré-Plage
382,Marquise-Rinxent
383,Villiers-St-Georges
384,Sommesous
